id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
1,Betrunken,adjektiv,Betrunken,Drunk,"Safety, Emergencies & Social Interaction",Er war betrunken gefahren.,He had driven drunk.,—,—
2,Bewusstlos,adjektiv,Bewusstlos,Unconscious,"Safety, Emergencies & Social Interaction",Das Unfallopfer war bewusstlos.,The accident victim was unconscious.,—,—
3,Gedankenlos,adjektiv,Gedankenlos,Thoughtless,"Safety, Emergencies & Social Interaction",Das war eine gedankenlose Bemerkung.,That was a thoughtless remark.,—,—
4,Leichtsinnig,adjektiv,Leichtsinnig,Reckless,"Safety, Emergencies & Social Interaction",Sein Verhalten war sehr leichtsinnig.,His behavior was very reckless.,—,—
5,Schwerverletzt,adjektiv,Schwerverletzt,Seriously Injured,"Safety, Emergencies & Social Interaction",Er wurde bei dem Unfall schwerverletzt.,He was seriously injured in the accident.,—,—
6,Tot,adjektiv,Tot,Dead,"Safety, Emergencies & Social Interaction",Der Hund ist leider tot.,The dog is unfortunately dead.,—,—
7,Unverletzt,adjektiv,Unverletzt,Unharmed,"Safety, Emergencies & Social Interaction",Zum Glück blieb sie unverletzt.,"Fortunately, she remained uninjured.",—,—
8,Unvorsichtig,adjektiv,Unvorsichtig,Careless,"Safety, Emergencies & Social Interaction",Er fuhr viel zu unvorsichtig.,He drove far too carelessly.,—,—
9,Das Eisenbahnunglück,das (neutrum),Eisenbahnunglück,Railway Accident,"Safety, Emergencies & Social Interaction",Das Eisenbahnunglück forderte viele Opfer.,The train crash claimed many victims.,Eisenbahnunglücke,—
10,Das Feuer,das (neutrum),Feuer,Fire,"Safety, Emergencies & Social Interaction",Das Feuer breitete sich schnell aus.,The fire spread quickly.,—,—
11,Das Glatteis,das (neutrum),Glatteis,Black Ice,"Safety, Emergencies & Social Interaction",Auf den Straßen gibt es heute Glatteis.,There is black ice on the roads today.,— (Unzählbar),—
12,Das Kennzeichen,das (neutrum),Kennzeichen,License Plate Number,"Safety, Emergencies & Social Interaction",Ich habe mir das Kennzeichen gemerkt.,I memorized the license plate.,Kennzeichen,—
13,Das Pech,das (neutrum),Pech,Bad Luck,"Safety, Emergencies & Social Interaction",Er hatte wirklich Pech.,He had real bad luck.,—,—
14,Das Rettungsboot,das (neutrum),Rettungsboot,Lifeboat,"Safety, Emergencies & Social Interaction",Das Rettungsboot wurde ins Wasser gelassen.,The lifeboat was lowered into the water.,Rettungsboote,—
15,Das Rotlicht,das (neutrum),Rotlicht,Red Light,"Safety, Emergencies & Social Interaction",Er ist bei Rotlicht über die Kreuzung gefahren.,He drove through the intersection at a red light.,—,—
16,Alkohol,der (maskulin),Alkohol,Alcohol,"Safety, Emergencies & Social Interaction",Alkohol am Steuer ist gefährlich.,Drinking and driving is dangerous.,— (Unzählbar),—
17,Bereitschaftsarzt,der (maskulin),Bereitschaftsarzt,On-Call Doctor,"Safety, Emergencies & Social Interaction",Der Bereitschaftsarzt kommt gleich.,The doctor on call is coming right away.,Bereitschaftsärzte,Bereitschaftsärztin
18,Bereitschaftsdienst,der (maskulin),Bereitschaftsdienst,On-Call Duty,"Safety, Emergencies & Social Interaction",Die Apotheke hat heute Bereitschaftsdienst.,The pharmacy is on call today.,Bereitschaftsdienste,—
19,Das Rasen,der (maskulin),Rasen,Race,"Safety, Emergencies & Social Interaction",Das Rasen auf der Autobahn ist gefährlich.,Speeding on the highway is dangerous.,—,—
20,Der Absturz,der (maskulin),Absturz,Crash,"Safety, Emergencies & Social Interaction",Der Absturz des Systems verursachte Probleme.,The system crash caused problems.,Abstürze,—
21,Der Aufprall,der (maskulin),Aufprall,Impact,"Safety, Emergencies & Social Interaction",Der Aufprall war sehr heftig.,The impact was very severe.,Aufprälle,—
22,Der Blechschaden,der (maskulin),Blechschaden,Minor Damage (Specifically To The Car Body),"Safety, Emergencies & Social Interaction",Es gab nur einen kleinen Blechschaden.,There was only minor sheet metal damage.,Blechschäden,—
23,Der Bruch,der (maskulin),Bruch,The Fracture,"Safety, Emergencies & Social Interaction",Der Bruch muss operiert werden.,The fracture needs to be operated on.,Brüche,—
24,Der Fallschirm,der (maskulin),Fallschirm,Parachute,"Safety, Emergencies & Social Interaction",Der Fallschirm öffnete sich nicht sofort.,The parachute didn't open immediately.,Fallschirme,—
25,Der Feuerlöscher,der (maskulin),Feuerlöscher,Fire Extinguisher,"Safety, Emergencies & Social Interaction",Wo ist der nächste Feuerlöscher?,Where is the nearest fire extinguisher?,Feuerlöscher,—
26,Der Flugzeugabsturz,der (maskulin),Flugzeugabsturz,Aircraft Crash,"Safety, Emergencies & Social Interaction",Niemand überlebte den Flugzeugabsturz.,No one survived the plane crash.,Flugzeugabstürze,—
27,Der Knochenbruch,der (maskulin),Knochenbruch,The Broken Bone,"Safety, Emergencies & Social Interaction",Er erlitt einen Knochenbruch am Bein.,He suffered a bone fracture in his leg.,Knochenbrüche,—
28,Der Motorschaden,der (maskulin),Motorschaden,Engine Failure,"Safety, Emergencies & Social Interaction",Wir hatten einen Motorschaden auf der Autobahn.,We had engine failure on the highway.,Motorschäden,—
