id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
1,Betrunken,adjektiv,Betrunken,Drunk,Accidents,Er war betrunken gefahren.,He had driven drunk.,—,—
2,Bewusstlos,adjektiv,Bewusstlos,Unconscious,Accidents,Das Unfallopfer war bewusstlos.,The accident victim was unconscious.,—,—
3,Gedankenlos,adjektiv,Gedankenlos,Thoughtless,Accidents,Das war eine gedankenlose Bemerkung.,That was a thoughtless remark.,—,—
4,Leichtsinnig,adjektiv,Leichtsinnig,Reckless,Accidents,Sein Verhalten war sehr leichtsinnig.,His behavior was very reckless.,—,—
5,Schwerverletzt,adjektiv,Schwerverletzt,Seriously Injured,Accidents,Er wurde bei dem Unfall schwerverletzt.,He was seriously injured in the accident.,—,—
6,Tot,adjektiv,Tot,Dead,Accidents,Der Hund ist leider tot.,The dog is unfortunately dead.,—,—
7,Unverletzt,adjektiv,Unverletzt,Unharmed,Accidents,Zum Glück blieb sie unverletzt.,"Fortunately, she remained uninjured.",—,—
8,Unvorsichtig,adjektiv,Unvorsichtig,Careless,Accidents,Er fuhr viel zu unvorsichtig.,He drove far too carelessly.,—,—
9,Das Eisenbahnunglück,das (neutrum),Eisenbahnunglück,Railway Accident,Accidents,Das Eisenbahnunglück forderte viele Opfer.,The train crash claimed many victims.,Eisenbahnunglücke,—
10,Das Feuer,das (neutrum),Feuer,Fire,Accidents,Das Feuer breitete sich schnell aus.,The fire spread quickly.,—,—
11,Das Glatteis,das (neutrum),Glatteis,Black Ice,Accidents,Auf den Straßen gibt es heute Glatteis.,There is black ice on the roads today.,— (Unzählbar),—
12,Das Kennzeichen,das (neutrum),Kennzeichen,License Plate Number,Accidents,Ich habe mir das Kennzeichen gemerkt.,I memorized the license plate.,Kennzeichen,—
13,Das Pech,das (neutrum),Pech,Bad Luck,Accidents,Er hatte wirklich Pech.,He had real bad luck.,—,—
14,Das Rettungsboot,das (neutrum),Rettungsboot,Lifeboat,Accidents,Das Rettungsboot wurde ins Wasser gelassen.,The lifeboat was lowered into the water.,Rettungsboote,—
15,Das Rotlicht,das (neutrum),Rotlicht,Red Light,Accidents,Er ist bei Rotlicht über die Kreuzung gefahren.,He drove through the intersection at a red light.,—,—
